tbch;normalized;name;hash;flag
;Yaroslav Mudryi National Law University, Law and Management Institute, Kyiv, Ukraine;Yaroslav Mudryi National Law University, Law and Management Institute, Kyiv, Ukraine;-7,23E+18;originally correct
;Yaroslav Mudryi National Law University, Pushkinska str. 77, Kharkiv, 61024, Ukraine;Yaroslav Mudryi National Law University, Pushkinska str. 77, Kharkiv, 61024, Ukraine;-4,44E+18;originally correct
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Head of the Department of Theory and Philosophy of Law, Yaroslav Mudryi National Law University, 77 Pushkinska Str., Kharkiv, 61024, Ukraine;-6,53E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Private International and Comparative Law, Yaroslav Mudryi National Law University, 77 Pushkinska Str., Kharkiv, 61024, Ukraine;-3,76E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;The Department of Phylosophy, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;7, 54E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Criminalistics, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;-8,94E+17;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Theory and Philosophy of Law, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;-6,00E+17;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Criminal Procedure, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;2, 28E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Sociology and Political Science, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;-4,33E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of International Private Law and Comparative Law, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;-7,83E+17;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Administrative Law and Administratively Activities, Yaroslav Mudryi National Law University, Kharkiv, Ukraine;-6,10E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Financial Law, Yaroslav Mudryi National Law University, Pushkinska str., 77, Kharkiv, 61024, Ukraine;1, 98E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Labour Law, Yaroslav Mudryi National Law University, Pushkinska str., 77, Kharkiv, 61024, Ukraine;-3,11E+17;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Civil Law No. 1, Yaroslav Mudryi National Law University, Pushkinska str., 77, Kharkiv, 61024, Ukraine;-3,22E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Financial Law, Yaroslav Mudryi National Law University, Pushkinskaya str., 77, Kharkiv, 61024, Ukraine;-7,12E+18;changed 1st dep by 2nd uni
;Yaroslav Mudryi National Law University, Yaroslav Mudryi National Law University, Ukraine;Department of Environmental Law, Yaroslav Mudryi National Law University, Ukraine;1, 33E+17;changed 1st dep by 2nd uni
;Yaroslav the Wise National Law University, Kharkiv 61024, Pushkinskaya Street, 77, Ukraine;Yaroslav the Wise National Law University, Kharkiv 61024, Pushkinskaya Street, 77, Ukraine;-7,29E+18;originally correct
;Yuri Kondratyuk Poltava National Technical University, Poltava, Ukraine;Yuri Kondratyuk Poltava National Technical University, Poltava, Ukraine;-3,50E+18;originally correct
;Yurii Fedkovych Chernivtsi National University, Chernivtsi 58012, Vul. Kotsyubynskogo, 2, Ukraine;Yurii Fedkovych Chernivtsi National University, Chernivtsi 58012, Vul. Kotsyubynskogo, 2, Ukraine;-1,59E+18;originally correct
;Yuriy Bugay International Scientific and Technical University;Head of Laboratory, Research Laboratory of Applied Materials Science Donbass Institute of Technique and Management Private Higher Educational Establishment, «Academician Yuriy Bugay International Scientific and Technical University», Mashynobudivnykiv blvd.32, Kramatorsk, 84313, Ukraine;2, 86E+18;first neither uni nor dep
;"Yuriy Bugay International Scientific and Technical University, IHE ""Academician Yuriy Bugay International Scientific and Technical University"", Kyiv, 02000, Ukraine";"Department of Management, IHE ""Academician Yuriy Bugay International Scientific and Technical University"", Kyiv, 02000, Ukraine";7, 88E+18;changed 1st dep by 2nd uni
;Yuriy Fedkovich National University, Cernauti, Ukraine;Yuriy Fedkovich National University, Cernauti, Ukraine;-3,61E+18;originally correct
;Yuriy Fedkovych Chernivtsi National University, 2 Kotsubinsky Str, Chernivtsi, 58012, Ukraine;Yuriy Fedkovych Chernivtsi National University, 2 Kotsubinsky Str, Chernivtsi, 58012, Ukraine;3, 24E+18;originally correct
;Yuriy Fedkovych Chernivtsi National University, 2, Kotsiubynsky str., Chernivtsi, 58012, Ukraine;Yuriy Fedkovych Chernivtsi National University, 2, Kotsiubynsky str., Chernivtsi, 58012, Ukraine;7, 41E+18;originally correct
;Yuriy Fedkovych Chernivtsi National University, 2, Kotsyubynskoho Str., Chernivtsi, 58012, Ukraine;Yuriy Fedkovych Chernivtsi National University, 2, Kotsyubynskoho Str., Chernivtsi, 58012, Ukraine;8, 28E+17;originally correct
;Yuriy Fedkovych Chernivtsi National University, 2, Kotsyubynsky Str., Chernivtsi, 58032, Ukraine;Yuriy Fedkovych Chernivtsi National University, 2, Kotsyubynsky Str., Chernivtsi, 58032, Ukraine;-1,70E+18;originally correct
;Yuriy Fedkovych Chernivtsi National University, Chernivtsi, 58012, Ukraine;Yuriy Fedkovych Chernivtsi National University, Chernivtsi, 58012, Ukraine;3, 73E+18;originally correct
;Yuriy Fedkovych Chernivtsi National University, Chernivtsi, Ukraine;Computer Science Department, Yuriy Fedcovitch Chernivtsi National University, Chernivtsi, 58002, Ukraine;-1,44E+18;changed 1st dep by 2nd uni
;Yuriy Fedkovych Chernivtsi National University, Chernivtsi, Ukraine;Optics and Publishing Department, Yuriy Fedcovitch Chernivtsi National University, Chernivtsi, 58002, Ukraine;-6,24E+18;changed 1st dep by 2nd uni
